Headlines,Time,Description,combined_text,clean_text
Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush," 7:51  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer recommended buying four companies that are supporting vaccine developers.","Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush  7:51  PM ET Fri, 17 July 2020 ""Mad Money"" host Jim Cramer recommended buying four companies that are supporting vaccine developers.",jim cramer better way invest covid vaccine gold rush pm et fri july mad money host jim cramer recommended buying four companies supporting vaccine developers
Cramer's lightning round: I would own Teradyne," 7:33  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: I would own Teradyne  7:33  PM ET Fri, 17 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round would teradyne pm et fri july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
,,,  ,
"Cramer's week ahead: Big week for earnings, even bigger week for vaccines"," 7:25  PM ET Fri, 17 July 2020","""We'll pay more for the earnings of the non-Covid companies if The Lancet publishes some good news from AstraZeneca's vaccine trial,"" Cramer said.","Cramer's week ahead: Big week for earnings, even bigger week for vaccines  7:25  PM ET Fri, 17 July 2020 ""We'll pay more for the earnings of the non-Covid companies if The Lancet publishes some good news from AstraZeneca's vaccine trial,"" Cramer said.",cramer week ahead big week earnings even bigger week vaccines pm et fri july pay earnings non covid companies lancet publishes good news astrazeneca vaccine trial cramer said
IQ Capital CEO Keith Bliss says tech and healthcare will rally," 4:24  PM ET Fri, 17 July 2020","Keith Bliss, IQ Capital CEO, joins ""Closing Bell"" to talk about the broader markets, including the performance of the S&P 500 and the Nasdaq.","IQ Capital CEO Keith Bliss says tech and healthcare will rally  4:24  PM ET Fri, 17 July 2020 Keith Bliss, IQ Capital CEO, joins ""Closing Bell"" to talk about the broader markets, including the performance of the S&P 500 and the Nasdaq.",iq capital ceo keith bliss says tech healthcare rally pm et fri july keith bliss iq capital ceo joins closing bell talk broader markets including performance p nasdaq
"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says"," 7:36  PM ET Thu, 16 July 2020","""Look for the stocks of high-quality companies that are going lower even though they deserve to go higher,"" the ""Mad Money"" host advised.","Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says  7:36  PM ET Thu, 16 July 2020 ""Look for the stocks of high-quality companies that are going lower even though they deserve to go higher,"" the ""Mad Money"" host advised.",wall street delivered kind pullback waiting jim cramer says pm et thu july look stocks high quality companies going lower even though deserve go higher mad money host advised
Cramer's lightning round: I would just stay long Wex," 7:23  PM ET Thu, 16 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: I would just stay long Wex  7:23  PM ET Thu, 16 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round would stay long wex pm et thu july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding'," 8:03  PM ET Thu, 16 July 2020","Investing $5 per day can compound to $70,000 by the time a child reaches adulthood, said Noah Kerner, CEO of micro-investing app Acorns.","Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding'  8:03  PM ET Thu, 16 July 2020 Investing $5 per day can compound to $70,000 by the time a child reaches adulthood, said Noah Kerner, CEO of micro-investing app Acorns.",acorns ceo parents turn five figures kids power compounding pm et thu july investing per day compound time child reaches adulthood said noah kerner ceo micro investing app acorns
Dividend cuts may mean rethinking your retirement income strategy," 8:54  AM ET Thu, 16 July 2020","Hundreds of companies have cut or suspended their dividends so far this year, and the second half of the year is when investors will feel those reductions the most.","Dividend cuts may mean rethinking your retirement income strategy  8:54  AM ET Thu, 16 July 2020 Hundreds of companies have cut or suspended their dividends so far this year, and the second half of the year is when investors will feel those reductions the most.",dividend cuts may mean rethinking retirement income strategy et thu july hundreds companies cut suspended dividends far year second half year investors feel reductions
,,,  ,
"StockX has authenticated 1 million Jordan sneakers this year, CEO says"," 8:25  PM ET Wed, 15 July 2020","""We've been able to capture these cultural moments,"" like ESPN's release of the ""The Last Dance"" earlier this year, CEO Scott Cutler said on ""Mad Money.""","StockX has authenticated 1 million Jordan sneakers this year, CEO says  8:25  PM ET Wed, 15 July 2020 ""We've been able to capture these cultural moments,"" like ESPN's release of the ""The Last Dance"" earlier this year, CEO Scott Cutler said on ""Mad Money.""",stockx authenticated million jordan sneakers year ceo says pm et wed july able capture cultural moments like espn release last dance earlier year ceo scott cutler said mad money
Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug," 7:51  PM ET Wed, 15 July 2020",Biohaven CEO Vlad Coric said the company brought on Khloe Kardashian to promote its migraine treatment to break the stigma around it.,"Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug  7:51  PM ET Wed, 15 July 2020 Biohaven CEO Vlad Coric said the company brought on Khloe Kardashian to promote its migraine treatment to break the stigma around it.",biohaven pharmaceuticals lands khloe kardashian influencer new migraine drug pm et wed july biohaven ceo vlad coric said company brought khloe kardashian promote migraine treatment break stigma around
Cramer's lightning round: I like Beyond Meat," 7:24  PM ET Wed, 15 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: I like Beyond Meat  7:24  PM ET Wed, 15 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round like beyond meat pm et wed july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"Cramer: We desperately need another round of federal stimulus, despite vaccine progress"," 6:51  PM ET Wed, 15 July 2020","""We figured we'd have maybe the virus contained in early fall, but we botched the reopening and now states are being forced to shut down again,"" the ""Mad Money"" host said.","Cramer: We desperately need another round of federal stimulus, despite vaccine progress  6:51  PM ET Wed, 15 July 2020 ""We figured we'd have maybe the virus contained in early fall, but we botched the reopening and now states are being forced to shut down again,"" the ""Mad Money"" host said.",cramer desperately need another round federal stimulus despite vaccine progress pm et wed july figured maybe virus contained early fall botched reopening states forced shut mad money host said
Cramer's lightning round: Buy more VMware," 7:31  PM ET Tue, 14 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Buy more VMware  7:31  PM ET Tue, 14 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round buy vmware pm et tue july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says"," 7:23  PM ET Tue, 14 July 2020","""This market is divided into four camps,"" the ""Mad Money"" host said.","Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says  7:23  PM ET Tue, 14 July 2020 ""This market is divided into four camps,"" the ""Mad Money"" host said.",wall street something highly unusual tuesday session jim cramer says pm et tue july market divided four camps mad money host said
"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns"," 7:02  PM ET Tue, 14 July 2020","The charts, as interpreted by Larry Williams, suggest the S&P 500 could climb another 5% in coming weeks before equities begin to retreat, Cramer said.","Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns  7:02  PM ET Tue, 14 July 2020 The charts, as interpreted by Larry Williams, suggest the S&P 500 could climb another 5% in coming weeks before equities begin to retreat, Cramer said.",charts suggest p climb stall end july jim cramer warns pm et tue july charts interpreted larry williams suggest p could climb another coming weeks equities begin retreat cramer said
Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks," 9:05  PM ET Mon, 13 July 2020","Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge.","Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks  9:05  PM ET Mon, 13 July 2020 Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge.",salesforce marc benioff face masks end u coronavirus crisis within weeks pm et mon july salesforce ceo marc benioff told cnbc jim cramer face masks stop coronavirus crisis u three weeks two sponsoring mask design challenge
"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says"," 8:33  PM ET Mon, 13 July 2020","Either Crown Castle becomes a leaner, meaner cell tower play with a high dividend, or the company ups its game to fend off Elliott Management's activist position, the ""Mad Money"" host said.","Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says  8:33  PM ET Mon, 13 July 2020 Either Crown Castle becomes a leaner, meaner cell tower play with a high dividend, or the company ups its game to fend off Elliott Management's activist position, the ""Mad Money"" host said.",crown castle good story get even better activist fight jim cramer says pm et mon july either crown castle becomes leaner meaner cell tower play high dividend company ups game fend elliott management activist position mad money host said
Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession'," 9:43  PM ET Mon, 13 July 2020","Ellevest CEO Sallie Krawcheck, who co-founded the digital investment firm for women, explained how the pandemic is affecting women, and women of color even more severly.","Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession'  9:43  PM ET Mon, 13 July 2020 Ellevest CEO Sallie Krawcheck, who co-founded the digital investment firm for women, explained how the pandemic is affecting women, and women of color even more severly.",ellevest sallie krawcheck says economic crisis caused cession pm et mon july ellevest ceo sallie krawcheck co founded digital investment firm women explained pandemic affecting women women color even severly
Cramer's lightning round: Zoom's pullback is a buying opportunity," 7:38  PM ET Mon, 13 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Zoom's pullback is a buying opportunity  7:38  PM ET Mon, 13 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round zoom pullback buying opportunity pm et mon july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'"," 7:24  PM ET Mon, 13 July 2020","""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said.","Cramer's earnings watch: 'If the banks get hammered, things could get ugly'  7:24  PM ET Mon, 13 July 2020 ""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said.",cramer earnings watch banks get hammered things could get ugly pm et mon july week find real world going intrude stock market world mad money host said
Stay invested in US markets for the next two years: Strategist," 1:50  AM ET Tue,  7 July 2020","Washington Crossing Advisors' Chad Morganlander says he sees earnings per share potential staying quite robust over the next 24 months, and to stay invested in high-quality sectors and growth names to avoid getting out of the market at the wrong time.","Stay invested in US markets for the next two years: Strategist  1:50  AM ET Tue,  7 July 2020 Washington Crossing Advisors' Chad Morganlander says he sees earnings per share potential staying quite robust over the next 24 months, and to stay invested in high-quality sectors and growth names to avoid getting out of the market at the wrong time.",stay invested us markets next two years strategist et tue july washington crossing advisors chad morganlander says sees earnings per share potential staying quite robust next months stay invested high quality sectors growth names avoid getting market wrong time
DBS sees signs of a 'healthy' US market rally," 4:59  AM ET Mon,  6 July 2020","Hou Wey Fook of DBS Bank says the U.S. equity rally has been broad, which is a positive indicator. He also explains why the entry of retail investors is a good thing for the markets.","DBS sees signs of a 'healthy' US market rally  4:59  AM ET Mon,  6 July 2020 Hou Wey Fook of DBS Bank says the U.S. equity rally has been broad, which is a positive indicator. He also explains why the entry of retail investors is a good thing for the markets.",dbs sees signs healthy us market rally et mon july hou wey fook dbs bank says u equity rally broad positive indicator also explains entry retail investors good thing markets
,,,  ,
Aggressive policy bolstering markets: Hirtle Callaghan,"10:57  PM ET Thu,  2 July 2020","Hirtle Callaghan's Jonathan Hirtle thinks this recession is one of design, and gives his range predictions for the S&P 500 and the U.S. 10-year treasury.","Aggressive policy bolstering markets: Hirtle Callaghan 10:57  PM ET Thu,  2 July 2020 Hirtle Callaghan's Jonathan Hirtle thinks this recession is one of design, and gives his range predictions for the S&P 500 and the U.S. 10-year treasury.",aggressive policy bolstering markets hirtle callaghan pm et thu july hirtle callaghan jonathan hirtle thinks recession one design gives range predictions p u year treasury
"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance"," 7:27  PM ET Thu,  2 July 2020","""The stock market is not a proxy for the economy, it's a proxy for big business,"" the ""Mad Money"" host said.","Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance  7:27  PM ET Thu,  2 July 2020 ""The stock market is not a proxy for the economy, it's a proxy for big business,"" the ""Mad Money"" host said.",cramer week ahead big business bouncing back bouncing back vengeance pm et thu july stock market proxy economy proxy big business mad money host said
Cramer's lightning round: I don't like Archer-Daniels-Midland Co," 7:37  PM ET Thu,  2 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: I don't like Archer-Daniels-Midland Co  7:37  PM ET Thu,  2 July 2020 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round like archer daniels midland co pm et thu july mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Sustainable produce supplier Apeel lands deal with Wakefern grocery stores," 7:00  PM ET Thu,  2 July 2020",Apeel will bring limes to Wakefern Food grocery stores in July. The deal is striving to save 1.4 million limes from going bad each year.,"Sustainable produce supplier Apeel lands deal with Wakefern grocery stores  7:00  PM ET Thu,  2 July 2020 Apeel will bring limes to Wakefern Food grocery stores in July. The deal is striving to save 1.4 million limes from going bad each year.",sustainable produce supplier apeel lands deal wakefern grocery stores pm et thu july apeel bring limes wakefern food grocery stores july deal striving save million limes going bad year
Jim Cramer deciphers the speculative and blue-chip stocks driving the market," 8:35  PM ET Wed,  1 July 2020","""The whole market's being upended by the pandemic and the lines they are shifting,"" the ""Mad Money"" host said.","Jim Cramer deciphers the speculative and blue-chip stocks driving the market  8:35  PM ET Wed,  1 July 2020 ""The whole market's being upended by the pandemic and the lines they are shifting,"" the ""Mad Money"" host said.",jim cramer deciphers speculative blue chip stocks driving market pm et wed july whole market upended pandemic lines shifting mad money host said
